nome_completo,nome_repo,dono,url,estrelas,criado_em,atualizado_em,idade_dias,idade_anos,dias_desde_ultimo_push
facebook/react-native,react-native,facebook,https://github.com/facebook/react-native,125733,2015-01-09T18:10:16Z,2026-04-30T03:14:40Z,4128,11.3018,0
excalidraw/excalidraw,excalidraw,excalidraw,https://github.com/excalidraw/excalidraw,122265,2020-01-02T01:04:43Z,2026-04-30T10:45:37Z,2310,6.3244,0
kubernetes/kubernetes,kubernetes,kubernetes,https://github.com/kubernetes/kubernetes,122003,2014-06-06T22:56:04Z,2026-04-30T11:23:25Z,4345,11.896,0
electron/electron,electron,electron,https://github.com/electron/electron,121081,2013-04-12T01:47:36Z,2026-04-30T08:10:25Z,4766,13.0486,0
anthropics/claude-code,claude-code,anthropics,https://github.com/anthropics/claude-code,119400,2025-02-22T17:41:21Z,2026-04-29T03:29:13Z,431,1.18,1
microsoft/markitdown,markitdown,microsoft,https://github.com/microsoft/markitdown,118866,2024-11-13T19:56:40Z,2026-04-20T17:52:20Z,532,1.4565,9
nodejs/node,node,nodejs,https://github.com/nodejs/node,116986,2014-11-26T19:57:11Z,2026-04-30T11:16:07Z,4172,11.4223,0
iptv-org/iptv,iptv,iptv-org,https://github.com/iptv-org/iptv,115639,2018-11-14T22:00:57Z,2026-04-30T00:30:26Z,2723,7.4552,0
clash-verge-rev/clash-verge-rev,clash-verge-rev,clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,114857,2023-11-21T18:24:03Z,2026-04-30T11:18:13Z,890,2.4367,0
shadcn-ui/ui,ui,shadcn-ui,https://github.com/shadcn-ui/ui,113270,2023-01-04T12:43:27Z,2026-04-29T18:30:23Z,1211,3.3155,0
firecrawl/firecrawl,firecrawl,firecrawl,https://github.com/firecrawl/firecrawl,113221,2024-04-15T21:02:29Z,2026-04-30T08:49:54Z,744,2.037,0
rustdesk/rustdesk,rustdesk,rustdesk,https://github.com/rustdesk/rustdesk,113202,2020-09-28T15:36:08Z,2026-04-30T08:56:31Z,2039,5.5825,0
d3/d3,d3,d3,https://github.com/d3/d3,112813,2010-09-27T17:22:42Z,2025-12-02T17:48:19Z,5693,15.5866,148
rust-lang/rust,rust,rust-lang,https://github.com/rust-lang/rust,112437,2010-06-16T20:39:03Z,2026-04-30T10:47:16Z,5796,15.8686,0
mrdoob/three.js,three.js,mrdoob,https://github.com/mrdoob/three.js,112254,2010-03-23T18:58:01Z,2026-04-30T09:52:21Z,5881,16.1013,0
Comfy-Org/ComfyUI,ComfyUI,Comfy-Org,https://github.com/Comfy-Org/ComfyUI,110751,2023-01-17T03:15:56Z,2026-04-30T10:23:04Z,1199,3.2827,0
godotengine/godot,godot,godotengine,https://github.com/godotengine/godot,110138,2014-01-04T16:05:36Z,2026-04-29T17:34:12Z,4498,12.3149,0
axios/axios,axios,axios,https://github.com/axios/axios,109034,2014-08-18T22:30:27Z,2026-04-29T17:33:57Z,4272,11.6961,0
microsoft/TypeScript,TypeScript,microsoft,https://github.com/microsoft/TypeScript,108705,2014-06-17T15:28:39Z,2026-04-27T19:32:49Z,4334,11.8658,2
GrowingGit/GitHub-Chinese-Top-Charts,GitHub-Chinese-Top-Charts,GrowingGit,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,107757,2019-09-05T03:01:56Z,2024-10-12T06:51:36Z,2429,6.6502,565
ggml-org/llama.cpp,llama.cpp,ggml-org,https://github.com/ggml-org/llama.cpp,107542,2023-03-10T18:58:00Z,2026-04-30T11:25:04Z,1146,3.1376,0
denoland/deno,deno,denoland,https://github.com/denoland/deno,106567,2018-05-15T01:34:26Z,2026-04-30T11:17:36Z,2907,7.9589,0
fatedier/frp,frp,fatedier,https://github.com/fatedier/frp,106190,2015-12-21T15:24:59Z,2026-04-27T10:28:22Z,3782,10.3546,3
tauri-apps/tauri,tauri,tauri-apps,https://github.com/tauri-apps/tauri,106030,2019-07-13T09:09:37Z,2026-04-30T11:15:25Z,2483,6.7981,0
papers-we-love/papers-we-love,papers-we-love,papers-we-love,https://github.com/papers-we-love/papers-we-love,105723,2013-12-15T14:31:41Z,2026-03-26T09:31:12Z,4518,12.3696,35
2dust/v2rayN,v2rayN,2dust,https://github.com/2dust/v2rayN,104053,2019-07-30T03:47:24Z,2026-04-30T02:03:17Z,2466,6.7515,0
facebook/create-react-app,create-react-app,facebook,https://github.com/facebook/create-react-app,103464,2016-07-17T14:55:11Z,2025-02-15T01:32:11Z,3573,9.7823,439
deepseek-ai/DeepSeek-V3,DeepSeek-V3,deepseek-ai,https://github.com/deepseek-ai/DeepSeek-V3,103313,2024-12-26T09:52:40Z,2025-08-28T03:24:37Z,490,1.3415,245
microsoft/terminal,terminal,microsoft,https://github.com/microsoft/terminal,102976,2017-08-11T18:38:22Z,2026-04-30T03:12:35Z,3183,8.7146,0
google-gemini/gemini-cli,gemini-cli,google-gemini,https://github.com/google-gemini/gemini-cli,102788,2025-04-17T17:04:31Z,2026-04-30T04:53:57Z,377,1.0322,0
supabase/supabase,supabase,supabase,https://github.com/supabase/supabase,101645,2019-10-12T05:56:49Z,2026-04-30T11:28:42Z,2392,6.5489,0
angular/angular,angular,angular,https://github.com/angular/angular,100054,2014-09-18T16:12:01Z,2026-04-29T23:09:20Z,4241,11.6112,0
pytorch/pytorch,pytorch,pytorch,https://github.com/pytorch/pytorch,99553,2016-08-13T05:26:41Z,2026-04-30T11:27:24Z,3547,9.7112,0
immich-app/immich,immich,immich-app,https://github.com/immich-app/immich,99310,2022-02-03T15:56:27Z,2026-04-30T11:24:55Z,1546,4.2327,0
neovim/neovim,neovim,neovim,https://github.com/neovim/neovim,99219,2014-01-31T13:39:22Z,2026-04-30T11:26:40Z,4471,12.2409,0
openai/whisper,whisper,openai,https://github.com/openai/whisper,98674,2022-09-16T20:02:54Z,2026-04-15T16:32:15Z,1321,3.6167,14
mui/material-ui,material-ui,mui,https://github.com/mui/material-ui,98255,2014-08-18T19:11:54Z,2026-04-30T11:18:37Z,4272,11.6961,0
